epreuves    events
manchette à deux mains     two-hand bump
manchette à une main     one-hand bump
manchette arrière     pass backward
manchette de défense     dig
match d'entraînement     practice match
mettre en jeu     put into play (to)
mettre le ballon en jeu     put the ball in play (to)
occasions totales     total opportunities
offensive ; système offensif     offence
organisation de réception     system for reception
ouverture ; trou     opening
par-dessus le filet     over the net
pas croisé     cross-over step
passage de la ligne centrale     crossing the centre middle line
passage de la main au-dessus du filet     passing one's hand over the net
passage du plan du filet     crossing the net line
passe     set
passe à deux mains     two-hand set
passe à une main     one-hand set
passe accélérée     fire pass
passe accélérée     accelerated pass
passe arrière ; passe en arrière     backward set
passe avant     forward set
passe courte ; passe tendue     short set
passe dans un secteur libre de filet     cutting pass
passe d'attaque     setting set
passe en manchette     bump set
passe en suspension     jump set
passe en touche haute     overhand set
passe en touche haute     overhand pass
passe haute     high set
passe haute     overhead set
passe latérale     lateral set
passe par-dessus ; passe en haut     overarm pass
passer     set (to)
passer les mains par dessus le filet     reach over (to)
passeur pénétrant     back row setter
passeur pénétrant     penetrating setter
pénétration     penetration
pénétration dans l'espace adverse     penetration into the opponent's space
pénétration du passeur     penetration of the setter
pénétration sous le filet     penetration under the net
permutation     switch
phase de réception de service     sideout phase
pipe     pipe
placement ; ballon placé     tip
placer (se)     position oneself (to)
placer la balle     place the ball (to)
placer le ballon     dump the ball (to)
placer le ballon     tip the ball (to)
placer le ballon dans un espace libre ; placer le ballon dans le trou     tip the ball in the weak area (to)
placer le ballon derrière le bloc     drop the ball behind the block (to)
placer le ballon derrière le contre     tip the ball behind the block (to)
plongeon     dive
plongeon à deux mains     two-hand dive
plongeon à une main     one-hand dive
plongeon en avant     front dive
plongeon latéral     side-roll dive
plongeon latéral     side dive
position basse     low position ; low standing
position de défense     defence position
position des joueurs ; ordre de rotation     rotation order
position en jeu     game position
position fondamentale     ready position
position haute     high position ; high standing
position moyenne     middle position
pousser le ballon     push the ball (to)
premier service     first service
première touche     first contact
prendre l'avantage     break a tie (to)
prendre l'avantage     resolve a tie (to)
rapport de force     dual
rebond du filet     bounce off the net
réception à deux mains     two-hand reception
réception de service     service reception
réception de service     reception of a service
réception du service     serve reception
réception en manchette     bump reception
réceptionner ; recevoir     receive (to) ; catch (to)
réceptionneur     receiver
réceptionneur-attaquant     wing-tritter
récupération à deux mains     two-hand dig
récupération à une main     one-hand dig
récupération de la balle     attack reception ; digging
renvoyer la balle ; renvoyer le ballon     return the ball (to)
repousser le ballon     strike the ball away (to)
reprendre le jeu     resume the game (to)
rotation au service ; ordre au service     service order
schéma tactique     tactical plan
serveur     server
service     serve ; service
service au-dessus de l'épaule     overhand serve
service avec rotation ; service sans effet     service with rotation
service balancier     windmill serve ; roundhouse serve ; sidearm serve
service court     short serve
service dans la zone d'attaque     service in the attack zone
service enroulé ; lifté     sky ball serve
service flottant     float (floating) serve
service haut     spin serve
service lifté     topspin serve
service par en dessous ; service bas ; service à la cuiller     underhand serve
service placé     directed service
service puissant     power serve
service sans rotation du ballon ; service sans effet du ballon     service without spinning the ball
service slicé     slice serve
service smashé     jump serve
service soleil     sky serve
service tennis     tennis serve ; tennis service ; overhead service
service tennis flottant ; service smashé fottant ; service balancier flottant     floating tennis serve
servir     serve (to)
servir au-delà du temps réglementaire     delay the service (to)
set décisif     tie-break
set-average     set average
smash latéral     lateral spike
smasher ; attaquer ; frapper     spike (to)
smasher à côté du contre     spike past the block (to)
smasher au-dessus du contre     spike over the block (to)
smasher dans le contre pour faire sortir le ballon     spike off the block (to)
smasheur     ace spiker
sortir du terrain     leave the court (to)
soulever le ballon     lift the ball (to)
soutien     support ; cover
soutien d'attaque     attack support ; attack covering
soutien de réception     covering the receiver ; reception coverage
spécialiste de la défense     defence specialist ; digger
spécialiste de la passe ; passeur     setter
spécialiste de l'attaque     attack specialist
spécialiste de réception     reception specialist
spécialiste du contre     block specialist
spécialiste du service     service specialist
statisticien-préparateur de match     scoutman
système 3-1-2     3-1-2 system
système 3-2-1     3-2-1 system
système 4-1-1     4-1-1 system
système 4-2     double setter ; 4-2 system
système 5-1     5-1 system
système d'attaque     offence system ; attack formation
système d'attaque avec passeur pénétrant     offence system through front row player
système de couverture de l'attaque     attack coverage system
tactique collective     group tactics
tactique de contre     blocking tactics
tactique de service     serving tactics
temps mort technique     technical time-out
tentative de contre ; tentative de bloc     attempt to block ; block attempt
tentative de service     service attempt
titulaire     first team player
touche     touch ; hit
touche de balle     touching the ball ; ball hit
touche de balle ; contact     contact
touche de bloc ; touche effective     completed block
touche de filet par un joueur     touching the net by a player
touche d'équipe     team hit
touche du bloc     blocking hit
touche haute     high hit
toucher     touch (to)
toucher ; contacter     contact (to)
touches simultanées     simultaneous contacts ; simultaneous hits
trajectoire     flight
trajet du ballon     path of the ball
transpercer le contre ; transpercer le bloc     split the block (to)
transpercer le contre ; transpercer le bloc     pierce the block (to)
trou     weak area
un seul point d'écart     one-point lead
volée     volley
volleyeur ( volleyeuse) ; joueur (joueuse) de volley     volleyball playere
